"name","provider","description","rating","duration"
"Singing Popular Music","Berklee College of Music","Skills you'll gain: Communication","(144 reviews)"," 1-3 Months"
"The Singer Songwriter","Berklee College of Music","Skills you'll gain: Communication, Creativity, Entrepreneurship, Research and Design, Storytelling, Writing","(4.1k reviews)"," 3-6 Months"
"The Art of Vocal Production","Berklee College of Music","Skills you'll gain: Communication, Media Production","(350 reviews)"," 1-3 Months"
"Music for Wellness","Berklee College of Music","Skills you'll gain: Personal Development, Creativity, Entrepreneurship, Research and Design","(289 reviews)"," 1-3 Months"
"Shaping Your Professional Brand","University of Illinois at Urbana-Champaign","Skills you'll gain: Business Communication, Communication, Emotional Intelligence, Influencing","(30 reviews)"," 1-3 Months"
"European Business Law: Competing in Europe","Lund University","Skills you'll gain: Entrepreneurship, Marketing, Accounting, Brand Management, General Accounting, Leadership and Management, Sales, Strategy, Strategy and Operations","(266 reviews)"," 1-3 Months"
"Developing Your Musicianship","Berklee College of Music","N/A","(1.2k reviews)"," 1-3 Months"
"Fundamentals of Rehearsing Music Ensembles","The University of North Carolina at Chapel Hill","N/A","(381 reviews)"," 1-3 Months"
"Piano Techniques for Modern Music","Berklee College of Music","N/A","N/A"," 1-3 Months"
"Voice Disorders: What Patients and Professionals Need to Know","Icahn School of Medicine at Mount Sinai","Skills you'll gain: Communication, Computer Graphics, Human Computer Interaction, Interactive Design, Media Production","(180 reviews)"," 1-3 Months"
"Electronic Music Production","Berklee College of Music","Skills you'll gain: Communication, Media Production, Human Computer Interaction, User Experience","(2.1k reviews)"," 3-6 Months"
"Writing and Editing: Word Choice and Word Order","University of Michigan","Skills you'll gain: Communication, Leadership and Management, Professional Development, Writing, Creativity, Entrepreneurship, Marketing, Sales, Strategy, Strategy and Operations","(1.6k reviews)"," 1-4 Weeks"
"Healing with the Arts","University of Florida","Skills you'll gain: Creativity, Entrepreneurship, Research and Design","(818 reviews)"," 1-3 Months"
"Explore Management Concepts through Metaphor and Music","University of London","N/A","(6 reviews)"," 1-4 Weeks"
